,nome,sexo,nascimento,documento,tipo_documento
22,XSZVRNAHWZYKRQIQOOSVNYYOSEYTAYZUHLXLTFEUWFPQDIYAPN,F,1976-11-11,641401893262670,A
23,XSZVRNAHWZYKRQIQOOSVNYYOSEYTAYZUHLXLTFEUWFPQDIYAPN,F,1976-11-11,476672522030787,B
24,PBACMOLLVAXOFONKHXPEBRMMVMBGYGRQRBQUOQKVNORPYUSVFG,F,1984-02-06,202620531970336,A
24,PBACMOLLVAXOFONKHXPEBRMMVMBGYGRQRBQUOQKVNORPYUSVFG,F,1984-02-06,852384417257560,E
25,XGBOTWBZZHASAERFSLWMRKVEKDOPJBYIAOVLUWVWPRGNAJGGXR,M,1970-02-25,954949445915456,A
26,FUUAZLKVXRGSTQFSUXXPWLWPAKRCHSEIYRCAQGJQWLDKKAOYTS,M,1990-11-18,087310321929508,A
27,FUUAZLKVXRGSTQFSUXXPWLWPAKRCHSEIYRCAQGJQWLDKKAOYTS,M,1990-11-18,388427141018938,B
28,BWTRWOXWGRDCEPUFTNLDFWRKGJKXJZBKMZBGSTYFPQFHHVNQLK,F,1988-05-08,834112944116111,A
29,OMSMKXDUCLKUKSUFKASCYGVDDXEDOAETGVUWUHYQPBLTDRNHDN,F,2007-10-20,406833349966454,A
29,OMSMKXDUCLKUKSUFKASCYGVDDXEDOAETGVUWUHYQPBLTDRNHDN,F,2007-10-20,980630988395015,F
30,OMSMKXDUCLKUKSUFKASCYGVDDXEDOAETGVUWUHYQPBLTDRNHDN,F,2007-10-20,500003923471251,B
32,POSDCAAKLLTWSHHFQLVPESBJQSZMYAYOQSCSCVBPULFEVLAGZG,F,1971-01-14,351121055712656,B
32,POSDCAAKLLTWSHHFQLVPESBJQSZMYAYOQSCSCVBPULFEVLAGZG,F,1971-01-14,837575922102564,F
33,DLVMOAXCMJBYQOKWOQQLCIUNYSRLZHBSMQSFNUJJVLYVIFZODH,F,1990-11-02,341681318492137,A
33,DLVMOAXCMJBYQOKWOQQLCIUNYSRLZHBSMQSFNUJJVLYVIFZODH,F,1990-11-02,864867180693275,D
34,QHBLVRQGEAHBSXIMRKJDRZWNFFZRYKBBSBSYQSVDYAKMXVLAJX,F,1990-01-24,800822038830647,A
34,QHBLVRQGEAHBSXIMRKJDRZWNFFZRYKBBSBSYQSVDYAKMXVLAJX,F,1990-01-24,110398989834002,E
35,QHBLVRQGEAHBSXIMRKJDRZWNFFZRYKBBSBSYQSVDYAKMXVLAJX,F,1990-01-24,388599535410063,B
36,DKEAYZPRQRVZLDZSCIUNWYOXJPMAQMPVZQTMDQRHNYTBOQYCEQ,M,2002-12-06,086910966514864,A
36,DKEAYZPRQRVZLDZSCIUNWYOXJPMAQMPVZQTMDQRHNYTBOQYCEQ,M,2002-12-06,336480302760949,D
37,DKEAYZPRQRVZLDZSCIUNWYOXJPMAQMPVZQTMDQRHNYTBOQYCEQ,M,2002-12-06,872571699365113,B
38,CRVEQMEBJWNXMAPOSEHKUWZJQWNHGETLHYTFELEJLUOKYESJUC,M,1984-07-06,299695159964866,A
38,CRVEQMEBJWNXMAPOSEHKUWZJQWNHGETLHYTFELEJLUOKYESJUC,M,1984-07-06,265500077204607,E
39,CRVEQMEBJWNXMAPOSEHKUWZJQWNHGETLHYTFELEJLUOKYESJUC,M,1984-07-06,041491510018959,B
40,GDRXCEVPORTMKUPAFPMIHPHGBDFGOCKPSUYOAGAKJNKSHZONNF,M,1988-05-07,808798993950192,A
40,GDRXCEVPORTMKUPAFPMIHPHGBDFGOCKPSUYOAGAKJNKSHZONNF,M,1988-05-07,297829922349784,F
42,NRKNEGPVTLAKHOWTOEENYISZECDAJDSHPVIUOUTINKDYETNMXY,F,2009-02-23,782170175916448,A
42,NRKNEGPVTLAKHOWTOEENYISZECDAJDSHPVIUOUTINKDYETNMXY,F,2009-02-23,146891605565979,F
44,MCUAWOXIMGLFWGXQTLCBEBRLTGDXDURXWPCVWDAZKMABXONLLO,F,2006-12-25,225811063918137,B
46,DGUWMOGQFMUIRGEBULZKYLSUATSBFYQAGFOVKHQBVLGXNTQFDO,F,1990-06-21,023684075949382,B
50,FOTTNUCGRAUCIGYXWPAHEXNXLJMLSBUPMLJQHOXPLRPNUVIBQR,F,1993-09-24,121793844412177,A
51,RVYMKVSVFUCCPKJEPKCKJRQOGHVJAULOFGNFDGSTZBTDEZSENR,F,1996-01-29,401987619455194,A
51,RVYMKVSVFUCCPKJEPKCKJRQOGHVJAULOFGNFDGSTZBTDEZSENR,F,1996-01-29,612318431966594,E
52,YTIOXDBQWWFUQTRGAGOLQESGBYVVGMXXFFYAUVTSESKLFHEQRN,M,1997-09-26,521475120155299,A
53,YTIOXDBQWWFUQTRGAGOLQESGBYVVGMXXFFYAUVTSESKLFHEQRN,M,1997-09-26,683793571646660,B
55,YESHDZXYKXFXIMYGDJWUMFIFZNEEXTRBXATQMBTIVNBJBZXHNW,M,1985-09-21,364283167679428,B
55,YESHDZXYKXFXIMYGDJWUMFIFZNEEXTRBXATQMBTIVNBJBZXHNW,M,1985-09-21,289064275301223,D
57,IDSMDDWJYRETMZIRJEYKCJGDLXGMKFLKLNPOCBHERSGXJVEXVM,F,1995-08-12,477033838723221,B
58,TTALWYICPZUOIGJFCQKSAWOQVIWRLRQSUAFNQDRTMMXXCZNJZI,M,2000-07-21,934513052073394,A
58,TTALWYICPZUOIGJFCQKSAWOQVIWRLRQSUAFNQDRTMMXXCZNJZI,M,2000-07-21,239544112229287,F
59,TTALWYICPZUOIGJFCQKSAWOQVIWRLRQSUAFNQDRTMMXXCZNJZI,M,2000-07-21,599927375329893,B
59,TTALWYICPZUOIGJFCQKSAWOQVIWRLRQSUAFNQDRTMMXXCZNJZI,M,2000-07-21,645033548568299,D
62,YDTHITBARFMBBVADWFLDQXNBOGYXJMXVLXFQMSJDGPGNMZYVQY,M,1974-08-12,280143298784563,B
62,YDTHITBARFMBBVADWFLDQXNBOGYXJMXVLXFQMSJDGPGNMZYVQY,M,1974-08-12,465591740350160,D
63,HLHRTGGFMDIKNRCVVVJXNXPSEAXYNBLYOGZTCVHNAALCNKLHQJ,M,1986-06-03,862550657354650,A
64,HLHRTGGFMDIKNRCVVVJXNXPSEAXYNBLYOGZTCVHNAALCNKLHQJ,M,1986-06-03,515139700723024,B
66,RUANFQTJAHVRNWDEOMAMNRJOPGLNLXCVZCWBCHZATZBPOPTUAK,M,1994-06-29,905618085173110,A
67,RUANFQTJAHVRNWDEOMAMNRJOPGLNLXCVZCWBCHZATZBPOPTUAK,M,1994-06-29,783306262435538,B
68,TKYELZHMJGDGZYWWSYKGQKRQAGMHPVFXSOAOOBINHDBRCGZISM,F,2005-09-08,222046518310653,A
69,DYGRGBDCFBRSHDWBNZYOSWMHFUKHPGHXDNDDKFJKNAYXYBYUEE,M,1971-07-21,810236571678099,A
70,DYGRGBDCFBRSHDWBNZYOSWMHFUKHPGHXDNDDKFJKNAYXYBYUEE,M,1971-07-21,477276720104013,B
70,DYGRGBDCFBRSHDWBNZYOSWMHFUKHPGHXDNDDKFJKNAYXYBYUEE,M,1971-07-21,862528431106293,F
71,DHADLNQEPSYGLYRGBVDJVSGXDYRESWZKWEIRURQBCGDJCJKZVZ,M,1983-07-24,790823831170240,A
72,YXYJJFHKWSBGIRXZAHNNFQFRWDCJIBQIEAZWHOZJUYMXZFWPPV,F,2002-09-15,991020445620105,A
72,YXYJJFHKWSBGIRXZAHNNFQFRWDCJIBQIEAZWHOZJUYMXZFWPPV,F,2002-09-15,061754149021552,F
73,YXYJJFHKWSBGIRXZAHNNFQFRWDCJIBQIEAZWHOZJUYMXZFWPPV,F,2002-09-15,502100898464074,B
73,YXYJJFHKWSBGIRXZAHNNFQFRWDCJIBQIEAZWHOZJUYMXZFWPPV,F,2002-09-15,110159862867831,E
74,NPTCGMHZVAPJAXZAONQXGYRJTISZAPLBTMRWQMZOOBLPXPLHLN,F,1981-06-24,330197070658700,A
75,NPTCGMHZVAPJAXZAONQXGYRJTISZAPLBTMRWQMZOOBLPXPLHLN,F,1981-06-24,042638656737143,B
75,NPTCGMHZVAPJAXZAONQXGYRJTISZAPLBTMRWQMZOOBLPXPLHLN,F,1981-06-24,618502053312424,D
77,AMIVXVKMPEWMORNQIBAPMWJCWMZFUWPYDWNTFJHDHVWGEOYVGX,F,2006-08-24,307739188247335,B
77,AMIVXVKMPEWMORNQIBAPMWJCWMZFUWPYDWNTFJHDHVWGEOYVGX,F,2006-08-24,632973493164701,D
78,HJJZFPIQDEQKTDKLWXHREVGMBUCZBDRYORMMVRDNXPMNIWYUDR,F,1988-06-28,588432028065056,A
79,EQDDFYDHTCNBPXYVUAVYRVVJTAXCXHTFQHJHJODTSCSABWCLIU,M,2004-01-19,385439256135704,A
79,EQDDFYDHTCNBPXYVUAVYRVVJTAXCXHTFQHJHJODTSCSABWCLIU,M,2004-01-19,522150958423290,D
80,EQDDFYDHTCNBPXYVUAVYRVVJTAXCXHTFQHJHJODTSCSABWCLIU,M,2004-01-19,722540065639565,B
81,CRUSKWGROPBFLPSSNVHCWGDHGXZRVENLODUXHVOKZTFHTGWFNA,M,1991-10-28,425257804796678,A
82,RLHMYPVYYGRKXEKWAGKGLIRJMYXUMRGABPCNGKFVICHFTIVERL,M,1971-03-30,605835143156624,A
83,RLHMYPVYYGRKXEKWAGKGLIRJMYXUMRGABPCNGKFVICHFTIVERL,M,1971-03-30,184457897155364,B
84,QCRSXVRSRZWUUYSASXTOLMYHMRCLLXJHVAAUAFPARZOTMOJTDN,M,1987-06-30,921667746025528,A
86,UOEMEIPZYJOPVODXBYWRVVNXLSFMFAJUEMCOAUZXMYIWEZGDFQ,M,1986-06-15,810340771768817,A
88,GRCYSQSQUTNHVRCHMIEKCZPWSFWARLFZFTERXKMRUQFWZQNSYR,M,1975-03-07,285481322807925,B
89,BQXFYEDMRCBULZOBVMTMXURLEKONLDALFXMFVPRHRZOSNRTDHK,M,1978-12-05,549348203146403,A
90,BQXFYEDMRCBULZOBVMTMXURLEKONLDALFXMFVPRHRZOSNRTDHK,M,1978-12-05,949373428005807,B
93,QJDJCZPWOLGGHLPGUMSNXBIQYLKALPZITKLIVFZWSYHSMGSNCZ,M,1982-01-07,472725694987294,B
93,QJDJCZPWOLGGHLPGUMSNXBIQYLKALPZITKLIVFZWSYHSMGSNCZ,M,1982-01-07,573598730172674,F
94,IVOYZKGUFDYRLMSBKTFUWJQPGKMKKLTDUCFBNYYTTCVLALZHBS,F,1972-03-22,831513561532757,A
95,EWHMSCQRPTPOHNJPXLMRIDGKFHMZJLLSDNQCWRLLOWEPBPTNZX,F,1992-05-05,939452848639875,A
95,EWHMSCQRPTPOHNJPXLMRIDGKFHMZJLLSDNQCWRLLOWEPBPTNZX,F,1992-05-05,273258906124668,E
96,EWHMSCQRPTPOHNJPXLMRIDGKFHMZJLLSDNQCWRLLOWEPBPTNZX,F,1992-05-05,512084790187507,B
97,ULZUNZEHVRAMWQUSXURJTRPVCZEJIPVYLNAECYVHXWZLZFRHSZ,F,1980-10-17,098444988631740,A
99,XVGZHGIGOBFOOMQKKMRVVLVKJEAPOGQWFIJGNUHOHVFFRSPYEY,F,1971-02-20,273926903490498,A
99,XVGZHGIGOBFOOMQKKMRVVLVKJEAPOGQWFIJGNUHOHVFFRSPYEY,F,1971-02-20,950963325488409,E
100,XVGZHGIGOBFOOMQKKMRVVLVKJEAPOGQWFIJGNUHOHVFFRSPYEY,F,1971-02-20,569152497657399,B
100,XVGZHGIGOBFOOMQKKMRVVLVKJEAPOGQWFIJGNUHOHVFFRSPYEY,F,1971-02-20,178549954081966,F
102,ZHCRVNZBBDQRMETMJPCVMKDGPNMKPKJFCKUELVKLQSILQFCNYF,M,1998-02-28,123622187787569,B
103,KTTRUZRHOYGIFQPDWJJUOLVNOOJRYQPZDPDPGOITSPHOBBEBDO,F,1978-08-04,534185396384852,A
104,KFMBCCCCRZJAZSYVEKINDBPLXCWPUEGDCCRBCFGDPTWSDATVPE,M,1985-12-31,615604360332821,A
105,MYAIXWMOEOPETJCFKFVAQEALQTLSXIPGJXJOGGHBNEVFDYUWNE,M,1982-01-05,782498005666808,A
105,MYAIXWMOEOPETJCFKFVAQEALQTLSXIPGJXJOGGHBNEVFDYUWNE,M,1982-01-05,164338847703209,F
106,KOCTNYUHFVCLZMGSCBWHYLTWPGDGBQXMZDRIGYMIMQNTRFEFVE,F,1993-01-27,401766618589392,A
109,UUGUBITRUZRPROFHEQDTXBUTZGQDOANFQMJFTNJEMYMFXJSVPN,M,1980-10-07,509907797131073,B
110,HPYHIOQRAICBMJDKGWGTIYFYPCBRLZIXEDVXZUISXMEVPAJJKR,M,1985-07-13,849913405265477,A
110,HPYHIOQRAICBMJDKGWGTIYFYPCBRLZIXEDVXZUISXMEVPAJJKR,M,1985-07-13,519610637912108,F
111,HPYHIOQRAICBMJDKGWGTIYFYPCBRLZIXEDVXZUISXMEVPAJJKR,M,1985-07-13,023309351741307,B
112,NGHLHRZQDPNWVWIFCHVGWNGWXMWWXDYPICUEHVXFQCXHCMATEA,F,1979-04-15,672867343714050,A
113,NGHLHRZQDPNWVWIFCHVGWNGWXMWWXDYPICUEHVXFQCXHCMATEA,F,1979-04-15,318434820033589,B
114,AMMOFSEWAYCJHADPUSZSSJXYTPAJBCFDZTTQFYLTITTFYVUEZU,M,1981-08-01,405098833378577,A
114,AMMOFSEWAYCJHADPUSZSSJXYTPAJBCFDZTTQFYLTITTFYVUEZU,M,1981-08-01,669130487948393,E
116,KESJBMADGVYIMLWAEWLNCWVYENIDZZDTWWKKVRZTZFMRQZTMLR,M,2007-01-17,962592380082357,A
118,MLAOCPOLHXZBHITLPSIHQWJMKSZRFNSQJYVZYZRBIIVQGFCMIB,M,1973-02-04,832922844295333,A
119,ZQHAEXLKNCRLKLLXCTJJJHPGHLCPFVFKJIJXUPEYQXSZSFEULP,F,1992-07-27,394432536268709,A
121,WOIDCWUSJBACOWQDBXZRQIEWXQUHZJKYFHITTEJJEFGLQDKAKF,F,1973-11-06,050160638822288,B
122,PHGDZZJUDGMUDKFCCRBILFJNBETYFLSSUHLDLYIMQMOJWJLICN,M,1992-08-02,581237875254132,A
124,KVSSTTVPRQBFUMUFKXSHNWRYXLWQQMPDPGEORKQBRPIJNXRDTE,F,1971-04-24,378021213285054,B
125,KZYXPSYLJIITFBBMOWUEKBTKMTPRGEZMDXZULWCTASRNVAGZOM,F,1990-03-25,042374607586402,A
128,NKMFSSWZWRZACUORLHDGBSSEVIDXSYFSQEMAKJMUQVZMKLPEMZ,F,1973-10-04,514908315818175,B
129,HQCUQADRZPKZKMBUEXBVCEBFMBRVHVNDHRNPNFUMLETROEEXBU,M,2007-08-14,520956379353999,A
130,SKDVSIZYZJREOOSXVAOINKQELJNERMMYKCYKABFNUCWOJBCAZQ,M,2008-10-05,410385892088211,A
130,SKDVSIZYZJREOOSXVAOINKQELJNERMMYKCYKABFNUCWOJBCAZQ,M,2008-10-05,787145406557754,F
132,KJTFAJKDKIJDEMVJJWKAMCQKCYGPLKGRLWKMKDNVPEOMHPFPYL,M,2003-06-20,262152713346981,A
135,TSIZUDDHITSIOEBBKGGPYYGBZQOPKTYHBJFKQPVTNTOXAHJDPC,F,1997-01-07,873273759140636,B
137,OCKXWZUJAVSHWHLWKBYDSVMLNFURCLYIDJACKPUEWXAPKORYJN,F,1990-07-09,529215102643543,B
137,OCKXWZUJAVSHWHLWKBYDSVMLNFURCLYIDJACKPUEWXAPKORYJN,F,1990-07-09,338352630478236,F
139,WRBKWLXWAKKBPOBKNGJZGLMOCFLPKNIHMHEFQGMGVNPHNPLXOJ,M,1993-08-03,831051679066705,B
139,WRBKWLXWAKKBPOBKNGJZGLMOCFLPKNIHMHEFQGMGVNPHNPLXOJ,M,1993-08-03,269700148691144,D
140,FABDUQBTLADJPADJZVQAQSNYIHHEPKEPDZWPMHBGVJOLEGMDFT,M,1970-02-28,217252748471029,A
140,FABDUQBTLADJPADJZVQAQSNYIHHEPKEPDZWPMHBGVJOLEGMDFT,M,1970-02-28,081129140427104,D
141,FABDUQBTLADJPADJZVQAQSNYIHHEPKEPDZWPMHBGVJOLEGMDFT,M,1970-02-28,847114342566377,B
142,WLBZCXYXTZWTISBVBCNOSUSHIWIXZOKMZNBWPGIIIPUTLEIOGP,M,2009-12-12,707073610428312,A
144,IURVQQXDJZIASRYZECJJYPWADEXHXCNIYOHGSLLJLWTOCQZXYK,M,1977-10-04,798738318502825,A
146,QJNYHPKOUZCEFBYQSJXJMSFVCZTIJAPMWDSQMISWBIICJYLRGB,M,1993-04-12,323024837622936,A
147,QJNYHPKOUZCEFBYQSJXJMSFVCZTIJAPMWDSQMISWBIICJYLRGB,M,1993-04-12,855321502397356,B
147,QJNYHPKOUZCEFBYQSJXJMSFVCZTIJAPMWDSQMISWBIICJYLRGB,M,1993-04-12,202352357692627,E
148,TCELCTKGPPNXKYJQHJSCDRSWCHBUGQGEQGDZVXULHLVJJWYNHI,F,2006-09-30,708720673880819,A
149,SJXQWCSNCKBFXCIORAHURCTKVFVPHZJBLRWNJCFTGTROABQNNP,F,1972-04-14,189498620736881,A
151,IVBRFGOWUMMLSBOUJINBZZPUXDAHDWOWVORXUSFIMTDTYPXLML,F,1979-01-22,719536687335953,A
151,IVBRFGOWUMMLSBOUJINBZZPUXDAHDWOWVORXUSFIMTDTYPXLML,F,1979-01-22,708879623216661,F
152,IVBRFGOWUMMLSBOUJINBZZPUXDAHDWOWVORXUSFIMTDTYPXLML,F,1979-01-22,246670191710050,B
155,GPIDUVRCJEHDSNUECRDMMUJRXNVSJKOZNQJKOZJWTHRLBGEHLE,F,1986-03-18,431658605378959,A
155,GPIDUVRCJEHDSNUECRDMMUJRXNVSJKOZNQJKOZJWTHRLBGEHLE,F,1986-03-18,533234255200533,F
156,GPIDUVRCJEHDSNUECRDMMUJRXNVSJKOZNQJKOZJWTHRLBGEHLE,F,1986-03-18,878905235637822,B
157,DRXMWVEBQIARXMOPRJDFNLEGRXSDLGQRVZQWZKYZAYSWCVPKMT,F,1986-07-11,100463489444223,A
157,DRXMWVEBQIARXMOPRJDFNLEGRXSDLGQRVZQWZKYZAYSWCVPKMT,F,1986-07-11,223190863532278,F
158,DRXMWVEBQIARXMOPRJDFNLEGRXSDLGQRVZQWZKYZAYSWCVPKMT,F,1986-07-11,643079879375272,B
159,FGUNTZTWSSYZVQPXEIGGJXXCQEUMZKPDCXVISCQIWCJWFSTMWG,M,2002-02-28,706227117122333,A
160,KVKZMEUMWUJNPHUJVXQZOYBPLPAKCLGDYHRJEDFVBIVMERLCDB,F,1982-05-17,297508906738782,A
160,KVKZMEUMWUJNPHUJVXQZOYBPLPAKCLGDYHRJEDFVBIVMERLCDB,F,1982-05-17,413149428095908,F
161,GSHXVRQJIUIICVHWFSFIQZMZRXHFCTIGRLRAPTSXMZIGLNWXKT,F,1977-04-07,394602284398684,A
161,GSHXVRQJIUIICVHWFSFIQZMZRXHFCTIGRLRAPTSXMZIGLNWXKT,F,1977-04-07,383322227854762,F
162,GSHXVRQJIUIICVHWFSFIQZMZRXHFCTIGRLRAPTSXMZIGLNWXKT,F,1977-04-07,132318976581168,B
164,IGFRZLDGREMVHNUIQWWNRJPSGGWHBBUGDFPDYRPRNKLLUJHGMF,M,1973-11-15,559372511086260,B
165,HSOGJNHSCSMBBXWNXYWTNYQBLPEPXMSVENPRLCXRCHYMDJIJZL,F,2009-08-08,327584718178416,A
166,LRGONEYOMEBJGFFVEZHSZIAHWVFCMQQOGAQNPHWRLQJEUMZZLD,F,1970-09-18,678950717486996,A
167,LRGONEYOMEBJGFFVEZHSZIAHWVFCMQQOGAQNPHWRLQJEUMZZLD,F,1970-09-18,672838712884206,B
169,GIICPGWSGTUAJMFFKSKTLUSMOXFODTNTKGONTJSFYCTUKKMCIW,M,1983-10-11,185242082454509,B
169,GIICPGWSGTUAJMFFKSKTLUSMOXFODTNTKGONTJSFYCTUKKMCIW,M,1983-10-11,955191235367500,D
170,VEDKFMQKDKHCPIELIBQNZBQWQJSAVLECONNOBTJNYXXXVXQPXO,M,1994-08-14,175439826025679,A
172,XCHZEQOEGZVXTTNHKDYCDCWILKFEVWGOUDYZORRUGMRPKTSGBH,M,1999-01-01,334580335358193,A
172,XCHZEQOEGZVXTTNHKDYCDCWILKFEVWGOUDYZORRUGMRPKTSGBH,M,1999-01-01,765580632526983,D
173,VYTIVBJQQEFAIFDOUGXMJZOZHNXZSAWZBPHWVKRQJTLIHYKZWF,F,1993-11-26,015983992098692,A
173,VYTIVBJQQEFAIFDOUGXMJZOZHNXZSAWZBPHWVKRQJTLIHYKZWF,F,1993-11-26,537365945991395,D
174,VYTIVBJQQEFAIFDOUGXMJZOZHNXZSAWZBPHWVKRQJTLIHYKZWF,F,1993-11-26,102654017894707,B
176,ZFXDZKRSYUWBVEYEIKQKEBJSNBJMZWOISVVLVQLHBDNBFEGVRF,M,2004-06-30,990098334774152,A
177,ZFXDZKRSYUWBVEYEIKQKEBJSNBJMZWOISVVLVQLHBDNBFEGVRF,M,2004-06-30,373422468175519,B
179,FRNDKJXNBMUWBHRAFNRDQKQWNEOLYPXXTIUXYULMPOPRDJGZGW,F,1999-11-07,237615320723700,A
181,TJGHVXJZPBEJXMDEQHSKIDYPDJHASTTPEQOZKFEWXFZTMDSTYB,M,1972-05-28,380899348197029,A
184,JWWJXHMGBTCXZEIGYKNTTTSODEQUCEGKXQHPIFOSSEVICZBCNV,F,2008-05-24,301727033958848,B
187,JGYIXPEJRPWTIFHZRMZNUASRXKYNVLPVJSKCSSKJANXXZKKEER,M,1977-04-03,507837996162009,A
188,JGYIXPEJRPWTIFHZRMZNUASRXKYNVLPVJSKCSSKJANXXZKKEER,M,1977-04-03,511149459910963,B
188,JGYIXPEJRPWTIFHZRMZNUASRXKYNVLPVJSKCSSKJANXXZKKEER,M,1977-04-03,639210283754723,E
190,UWHTLBBAQRBMVXYFOTPHSOMJAGSMOTPFMOOZZFLWLBKWHHPTXA,M,1979-09-11,231153395078784,B
191,PRJVUGWJOFXFAGYYJUPUMUZJELPIDBNECQDCEKCOYNCSCXYRKV,M,1994-04-22,067652895610627,A
192,QUKUYHIDCREFVDUTAVNVWBVVVKAQIHFUXLVZUMMZQLNBNHLFYU,M,1978-05-17,990979101499630,A
193,JAAQCJOCIMVNOIDIMKOSMJBJANMPZOGFJHOVRQBRDPLRHYRTIS,F,2000-09-08,304926777785456,A
195,YFFIACZITUPXVALMLOPDSTFPSPTRJBZMFHOJIHPVRZIEJXNPSA,F,1989-05-18,268149994121336,A
197,VEUTVCFOHZYTQALEFGDZTNYXJDYBTGYBCUQBCSMWOCPQAHHLPE,M,1990-04-15,932920225267648,A
198,VEUTVCFOHZYTQALEFGDZTNYXJDYBTGYBCUQBCSMWOCPQAHHLPE,M,1990-04-15,726279045920854,B
198,VEUTVCFOHZYTQALEFGDZTNYXJDYBTGYBCUQBCSMWOCPQAHHLPE,M,1990-04-15,756056194701772,D
199,CQLLXKCAMHZBUQLZXZJSZMPFGDTYDQSMJGVYUMZCICHZAMYTXI,F,1987-04-24,666062715352146,A
200,CQLLXKCAMHZBUQLZXZJSZMPFGDTYDQSMJGVYUMZCICHZAMYTXI,F,1987-04-24,746485761554639,B
202,SXWFOMKKLKPXQLJDVBXZSLRRQGWIXVMDIHQJNZQCSTTPYJJBHG,M,1976-02-21,676330199434349,A
206,UJDDHUZBPWAYMRVABEXLIAYQKIBIBUZVQNGTRWDJUWNETLTDCY,F,2004-04-24,742727105268333,A
207,UJDDHUZBPWAYMRVABEXLIAYQKIBIBUZVQNGTRWDJUWNETLTDCY,F,2004-04-24,918773989867649,B
208,QVLGIKWICZULRTOFJLNPUZZARXCKJIZWMRHVBLZCONZNQIYCDS,F,1970-06-07,332875215289649,A
208,QVLGIKWICZULRTOFJLNPUZZARXCKJIZWMRHVBLZCONZNQIYCDS,F,1970-06-07,905522175550191,E
209,QVLGIKWICZULRTOFJLNPUZZARXCKJIZWMRHVBLZCONZNQIYCDS,F,1970-06-07,823358648872901,B
210,DXXYOWFGSJNKDHWKSABNGPAPCUVEPHKCUHHODREMXTCVQELSDG,F,2002-06-06,858016048672176,A
210,DXXYOWFGSJNKDHWKSABNGPAPCUVEPHKCUHHODREMXTCVQELSDG,F,2002-06-06,202575198833379,F
211,MGZEZTOBQLHPDZQCQPHUVSBJZTWJQHSAFULDZVNMHBIVXAMJLQ,F,2003-03-03,626353957346924,A
214,TRIDMHKEHDCXQEKVYDYPESCDODGJGSFPPWFFQCUOVMWSKBBKAX,M,2007-11-24,679621870074803,B
214,TRIDMHKEHDCXQEKVYDYPESCDODGJGSFPPWFFQCUOVMWSKBBKAX,M,2007-11-24,370367029641454,D
215,MNPBVCOVPKMSMJLSLDDOPMJXOVLRKSXBRKZDUSVNSMNXJEUZLP,F,1993-02-04,152685811949618,A
